2018-04-2120:39:00 140.95213721 550.822955694 264.750092372 367.577902521 26.8514342252
2018-04-2210:09:00 146.607673055 575.685763245 277.068474183 381.205914109 29.0478261303
2018-04-2220:39:00 140.356487993 543.946969996 268.087401608 364.623112271 28.042322676
2018-04-2310:09:00 145.435981175 532.678122689 279.656332978 379.372009081 30.0681709819
2018-04-2320:39:00 135.569045694 513.201122767 261.843139978 354.89545353 28.3921404609
2018-04-2409:30:00 147.055169886 567.117703612 284.475601628 386.425047917 31.611350364
2018-04-2419:09:00 141.547922578 537.171549128 277.299164885 374.627809983 30.7566048971
2018-04-2510:09:00 144.227878948 509.69396766 286.602564078 384.845280622 32.4252382045
2018-04-2519:09:00 138.249416198 418.435671166 275.625605508 371.045255504 30.1700510506
2018-04-2619:09:00 142.101948548 456.003432784 278.682095358 378.116695818 31.952738819
2018-04-2710:09:00 144.280144744 473.450916718 284.53305885 384.586243809 32.5881588108
2018-04-2719:09:00 139.999114063 454.951874296 273.925169081 368.395540349 31.8357783691
2018-04-2809:00:00 149.062348892 476.122395091 288.725217331 387.759984273 33.6132692199
2018-04-2819:09:00 138.571755228 467.018894337 273.975497908 363.679867537 32.435277363
2018-04-2910:09:00 133.822109944 471.94999642 267.7900718 355.607235003 31.4748887396
2018-04-2919:09:00 136.337785874 477.65250626 277.174041478 364.371214597 32.9705626013
2018-04-3010:09:00 141.925802109 417.564531688 290.18606652 383.519289565 33.7074140016
2018-04-3019:09:00 135.363631012 407.831395236 275.139407302 362.886416665 32.1816238967
2018-05-0110:09:00 141.760410208 474.201525747 286.096376243 381.549796628 33.5028750751
2018-05-0119:09:00 135.927502241 451.718225422 276.051320184 367.137753476 32.9690518901
2018-05-0209:00:00 143.662253604 458.520023302 290.494558712 382.748569386 34.0281071809
2018-05-0219:09:00 136.334696781 431.116647664 275.231684211 362.201501009 33.1413017055
2018-05-0310:09:00 138.925756933 444.347937054 282.718283784 374.435710246 32.8267195977
2018-05-0319:09:00 135.256206632 440.780840147 275.833068928 366.74541675 32.0762902248
2018-05-0419:09:00 145.217016139 427.926599123 303.236174785 397.103898884 37.5783662001
2018-05-0609:00:00 139.97082025 446.254405191 289.879649991 386.595968671 32.6565833323
2018-05-0619:09:00 140.392829527 445.031236597 283.67731289 379.837827124 33.0800646914
2018-05-0713:24:00 143.928944844 468.614055663 293.991283694 392.437713044 35.399913537
2018-05-0719:09:00 138.191082724 444.943706902 285.393382477 377.157979144 31.7300522392
2018-05-0819:09:00 130.121896802 432.648045987 273.276292695 365.874372255 31.401711612
2018-05-0909:39:00 140.970260487 461.678333698 295.377266115 392.228569473 35.0028058747
2018-05-0918:09:00 129.93749318 426.159306053 273.018385934 365.925057513 32.2023691433
2018-05-1009:39:00 138.247568362 459.015330061 293.73117905 393.734532193 34.3504755424
2018-05-1018:09:00 106.944832273 349.867018346 225.295739708 295.624612467 27.1641054246
2018-05-1109:39:00 141.600867343 438.02693381 295.534778581 398.849579625 35.6894323284
2018-05-1118:09:00 124.28891532 402.591900924 263.361880322 359.716295954 31.6246188236
2018-05-1218:09:00 113.847382822 376.306413655 240.728162941 324.917565696 29.655495962
2018-05-1309:00:00 132.278792254 405.645210487 278.675085113 371.269290141 34.5589014151
2018-05-1318:09:00 124.279553375 389.333915239 264.582769527 355.062335205 33.1522627337
2018-05-1409:39:00 139.598114682 448.570141341 296.619673618 398.250236445 37.0522392041
2018-05-1418:09:00 136.224330831 435.955816636 289.832455496 384.734838355 36.7913507747
2018-05-1509:39:00 141.57198103 445.226653038 302.758709898 400.877071071 38.489522957
2018-05-1618:09:00 135.250485857 425.788984376 292.327193694 392.098400011 37.4624779357
2018-05-1709:39:00 139.82401868 433.126503537 302.617226112 402.763426047 38.4884141209
2018-05-1718:09:00 136.443137483 424.348502242 297.56323323 396.828698058 38.1959636577
2018-05-1809:39:00 138.866877899 433.622676906 303.203356628 409.757462352 37.9825805304
2018-05-1818:09:00 137.616472029 431.467256713 299.421741298 401.663425193 37.8327719739
2018-05-1909:00:01 136.989462346 429.676512973 298.111568143 398.15293713 37.6571318116
2018-05-1918:09:00 135.529817622 420.616800034 295.303282027 393.143556418 36.9985239618
2018-05-2009:39:00 139.720982001 427.23461709 304.83563331 405.426828174 39.7371515873
2018-05-2018:09:00 135.491702185 401.6248516 297.2226469 392.934747354 38.2661749265
2018-05-2108:39:00 138.538618606 404.577621861 301.767136641 401.617489559 38.9204812832
2018-05-2117:39:00 136.271800317 393.413366018 296.465171756 397.918250198 38.8270005101
2018-05-2208:03:00 136.610254598 413.675230568 300.379326817 401.6928744 40.3212122997
2018-05-2217:39:00 131.159030372 378.725086177 290.055516147 388.540228208 38.8391123399
2018-05-2308:39:00 139.41739561 375.973018746 306.244247792 406.741155577 39.3534085968
