0.078125  0.546236 0.551139 0.726537 0.630754
0.078613  0.554799 0.554579 0.732100 0.631224
0.079102  0.552914 0.546682 0.727406 0.640902
0.079590  0.555846 0.552187 0.722696 0.624705
0.080078  0.554510 0.549009 0.720176 0.643774
0.080566  0.556623 0.553113 0.729372 0.626513
0.081055  0.552474 0.540360 0.728893 0.638031
0.081543  0.556933 0.547467 0.725036 0.635616
0.082031  0.550735 0.546829 0.743671 0.629780
0.082520  0.550617 0.549264 0.761649 0.637306
0.083008  0.565730 0.552288 0.942782 0.635893
0.083496  0.562088 0.560987 1.385254 0.643268
0.083984  0.559067 0.557732 0.776826 0.635751
0.084473  0.564828 0.557381 0.744747 0.638049
0.084961  0.555989 0.552365 0.735419 0.632581
0.085449  0.558574 0.555539 0.728994 0.649079
0.085938  0.562151 0.553884 0.731480 0.631233
0.086426  0.569480 0.554419 0.724342 0.641931
0.086914  0.574435 0.558417 0.734215 0.638726
0.087402  0.570582 0.558034 0.743233 0.641098
0.087891  0.565199 0.558351 0.747124 0.648791
0.088379  0.559550 0.558652 0.734983 0.636025
0.088867  0.560076 0.563660 0.732125 0.635254
0.089355  0.560960 0.555875 0.737915 0.644405
0.089844  0.562616 0.556977 0.735205 0.637438
0.090332  0.567489 0.568324 0.734988 0.632948
0.090820  0.571454 0.569373 0.734323 0.643786
0.091309  0.571236 0.562495 0.742428 0.648099
0.091797  0.570823 0.563189 0.737825 0.633077
0.092285  0.570730 0.575449 0.734667 0.653411
0.092773  0.570533 0.573845 0.746848 0.637261
0.093262  0.564794 0.572451 0.745556 0.642956
0.093750  0.574346 0.572930 0.752847 0.653922
0.094238  0.576511 0.571527 0.740305 0.652892
0.094727  0.579043 0.559250 0.740447 0.648261
0.095215  0.575884 0.575585 0.748965 0.643770
0.095703  0.568357 0.573827 0.744921 0.645100
0.096191  0.570463 0.569116 0.734020 0.637042
0.096680  0.573392 0.562452 0.751450 0.637433
0.097168  0.577232 0.577331 0.741010 0.648747
0.097656  0.579485 0.576180 0.744855 0.640872
0.098145  0.572903 0.571476 0.749952 0.651346
0.098633  0.576926 0.579522 0.744177 0.655912
0.099121  0.577154 0.574265 0.750071 0.643418
0.099609  0.579179 0.576634 0.762580 0.651157
0.100098  0.578288 0.578848 0.754882 0.664139
0.100586  0.574816 0.572503 0.753474 0.646574
0.101074  0.581570 0.578351 0.757729 0.652436
0.101562  0.580954 0.579915 0.760859 0.636971
0.102051  0.573974 0.578106 0.754093 0.648445
0.102539  0.580794 0.578466 0.752122 0.648518
0.103027  0.584895 0.587352 0.752822 0.652982
0.103516  0.593182 0.578775 0.758784 0.653988
0.104004  0.591051 0.584038 0.751492 0.650177
0.104492  0.589282 0.579881 0.763348 0.649058
0.104980  0.597886 0.580671 0.759846 0.652095
0.105469  0.588023 0.592025 0.766546 0.658562
0.105957  0.574130 0.583781 0.774366 0.651843
